Table 3 
Stellar Host Masses and Ages


Name	DM97				BCAH98				SDF00				
log  M_*	CI(log  M_*)	log  t_*	CI(log  t_*)	log  M_*	CI(log  M_*)	log  t_*	CI(log  t_*)	log  M_*	CI(log  M_*)	log  t_*	CI(log  t_*)	
IRAS 04108+2910	-0.22	(-0.44, -0.18)	0.80	(0.13, 1.23)	-0.14	(-0.27, -0.05)	0.99	(0.48, 1.40)	-0.23	(-0.37, -0.15)	0.95	(0.49, 1.39)	
J04141188+2811535	-0.93	(-1.23, -0.83)	0.82	(0.50, 1.17)	-1.32	(-1.41, -1.02)	0.60	(-1.12, 0.81)	-1.08	(-1.34, -0.95)	0.81	(0.17, 1.12)	
FM Tau	-0.33	(-0.50, -0.20)	0.15	(-0.18, 0.62)	-0.05	(-0.22, -0.01)	0.67	(0.29, 1.00)	-0.22	(-0.34, -0.11)	0.53	(0.27, 0.92)	
FN Tau	-0.92	(-0.96, -0.79)	-1.57	(-2.41, -1.23)	-0.64	(-0.79, -0.45)	-1.30	(-1.93, -0.81)	-0.63	(-0.76, -0.57)	-1.11	(-1.55, -0.47)	
CW Tau	0.02	(-0.13, 0.10)	-0.13	(-0.50, 0.27)	0.30	(0.21, 0.36)	0.46	(0.11, 0.80)	0.20	(0.13, 0.27)	0.35	(0.06, 0.68)	
CIDA 1	-0.87	(-0.93, -0.76)	0.15	(-0.52, 0.25)	-1.04	(-1.08, -0.74)	0.10	(-2.09, 0.17)	-0.89	(-0.98, -0.75)	0.43	(-0.36, 0.48)	
MHO 1	-0.71	(-0.76, -0.48)	-0.10	(-2.27, 0.54)	-0.20	(-0.40, -0.10)	-0.86	(-2.15, 0.46)	-0.45	(-0.54, -0.36)	-2.01	(-2.40, 0.41)	
MHO 2 AB^a	-0.49	(-0.54, -0.25)	-1.17	(-1.78, -0.50)	-0.09	(-0.21, 0.05)	-0.56	(-1.22, -0.06)	-0.32	(-0.38, -0.16)	-0.09	(-1.28, -0.08)	
MHO 3 AB^a	-0.12	(-0.25, 0.02)	-0.29	(-0.84, 0.22)	0.16	(0.08, 0.28)	0.50	(-0.01, 0.81)	0.06	(-0.06, 0.18)	0.28	(-0.01, 0.69)	
