Table 4 
Stellar Spectrum Fitting Results


Name	log (T_*/K)	log (L_*/L_sun)	A_V	
(mag)	
IRAS 04108+2910	3.5855 +or- 0.0237	-0.691 +or- 0.290	1.73 +or- 1.09	
J04141188+2811535	3.4717 +or- 0.0189	-1.746 +or- 0.082	0.00 +or- 1.43	
FM Tau	3.5855 +or- 0.0237	-0.393 +or- 0.122	1.94 +or- 0.64	
FN Tau	3.4948 +or- 0.0202	-0.082 +or- 0.097	2.02 +or- 0.73	
CW Tau	3.6749 +or- 0.0156	0.384 +or- 0.205	3.17 +or- 1.20	
CIDA 1	3.4854 +or- 0.0199	-0.901 +or- 0.089	2.06 +or- 0.68	
MHO 1	3.5425 +or- 0.0181	0.230 +or- 0.883	12.75 +or- 3.28	
MHO 2 A^a	3.5425 +or- 0.0181	0.019 +or- 0.189	9.00 +or- 1.08	
MHO 2 B^a	3.4854 +or- 0.0714	-0.491 +or- 0.255	9.00 +or- 1.08	
MHO 3 A^a	3.6085 +or- 0.0225	-0.042 +or- 0.188	7.29 +or- 1.08	
MHO 3 B^a	3.5515 +or- 0.0531	-0.453 +or- 0.199	7.29 +or- 1.08	
FP Tau	3.5145 +or- 0.0193	-0.490 +or- 0.048	0.05 +or- 0.39	
CX Tau	3.5425 +or- 0.0181	-0.431 +or- 0.065	0.38 +or- 0.42	
FO Tau A	3.5241 +or- 0.0188	-0.353 +or- 0.080	2.40 +or- 0.52	
FO Tau B	3.5241 +or- 0.0188	-0.495 +or- 0.129	2.10 +or- 0.65	
J04153916+2818586	3.5193 +or- 0.0190	-0.494 +or- 0.071	2.21 +or- 0.53	
IRAS 04125+2902	3.5645 +or- 0.0172	-0.500 +or- 0.055	2.39 +or- 0.49	
J04155799+2746175	3.4854 +or- 0.0199	-1.096 +or- 0.097	1.38 +or- 0.56	
J04161210+2756385	3.4999 +or- 0.0199	-1.084 +or- 0.097	2.71 +or- 0.56	
J04163911+2858491	3.4854 +or- 0.0199	-1.258 +or- 0.077	3.50 +or- 0.51	
CY Tau	3.5602 +or- 0.0173	-0.398 +or- 0.090	0.44 +or- 0.53	
KPNO 10	3.4948 +or- 0.0202	-1.129 +or- 0.081	2.07 +or- 0.55	
V410 X-ray 1	3.5145 +or- 0.0193	-0.351 +or- 0.066	3.67 +or- 0.39	
V409 Tau	3.5602 +or- 0.0173	-0.592 +or- 0.084	0.66 +or- 0.49	
V410 Anon 13	3.4805 +or- 0.0197	-0.987 +or- 0.085	6.08 +or- 0.62	
DD Tau A	3.5241 +or- 0.0188	-0.478 +or- 0.216	0.90 +or- 1.47	
DD Tau B	3.5241 +or- 0.0188	-0.583 +or- 0.204	0.93 +or- 1.36	
CZ Tau A	3.5334 +or- 0.0184	-0.730 +or- 0.118	0.93 +or- 0.71	
CZ Tau B	3.4757 +or- 0.0857	-1.135 +or- 0.302	4.48 +or- 2.26	
V410 X-ray 2	3.5855 +or- 0.0237	0.430 +or- 0.077	17.61 +or- 0.76	
V892 Tau A^a	4.0755 +or- 0.1277	2.171 +or- 0.653	10.04 +or- 0.69	
V892 Tau B^a	4.0755 +or- 0.1277	2.171 +or- 0.653	10.04 +or- 0.69	
LR 1	3.6503 +or- 0.0187	0.406 +or- 0.135	28.15 +or- 1.25	
V410 X-ray 7 A^a	3.5730 +or- 0.0228	-0.326 +or- 0.133	8.20 +or- 0.78	
V410 X-ray 7 B^a	3.5380 +or- 0.0365	-0.549 +or- 0.164	8.20 +or- 0.78	
V410 X-ray 6	3.4854 +or- 0.0199	-0.454 +or- 0.050	3.48 +or- 0.48	
KPNO 12	3.3802 +or- 0.0561	-2.973 +or- 0.238	1.88 +or- 1.78	
FQ Tau A	3.5334 +or- 0.0184	-1.068 +or- 0.134	0.96 +or- 0.83	
FQ Tau B	3.5241 +or- 0.0188	-0.931 +or- 0.136	0.96 +or- 1.07	
BP Tau	3.6085 +or- 0.0225	-0.012 +or- 0.122	0.75 +or- 0.58	
V819 Tau	3.6085 +or- 0.0225	-0.039 +or- 0.076	1.60 +or- 0.43	
FR Tau	3.4901 +or- 0.0200	-0.959 +or- 0.058	0.23 +or- 0.44	
J04201611+2821325	3.4676 +or- 0.0207	-1.870 +or- 0.082	2.30 +or- 0.70	
J04202144+2813491^b	3.5688 +or- 0.0170	-2.718 +or- 0.110	0.55 +or- 0.59	
J04202555+2700355	3.4901 +or- 0.0200	-1.343 +or- 0.050	3.17 +or- 0.49	
IRAS 04173+2812	3.5145 +or- 0.0193	-1.037 +or- 0.123	12.21 +or- 1.18	
J04202606+2804089	3.5241 +or- 0.0188	-0.731 +or- 0.041	0.50 +or- 0.46	
J04210795+2702204	3.4901 +or- 0.0200	-1.205 +or- 0.119	6.25 +or- 0.67	
J04210934+2750368	3.4901 +or- 0.0200	-0.973 +or- 0.106	1.16 +or- 0.64	
J04213459+2701388	3.4854 +or- 0.0199	-0.912 +or- 0.075	3.65 +or- 0.54	
IRAS 04187+1927	3.5855 +or- 0.0237	0.152 +or- 0.095	4.90 +or- 0.60	
J04214631+2659296	3.4805 +or- 0.0197	-1.529 +or- 0.074	4.72 +or- 0.50	
DE Tau	3.5688 +or- 0.0170	0.014 +or- 0.069	1.14 +or- 0.61	
RY Tau	3.7059 +or- 0.0154	1.123 +or- 0.159	2.25 +or- 0.61	
T Tau N	3.7202 +or- 0.0141	1.130 +or- 0.140	2.09 +or- 0.44	
FS Tau A	3.5855 +or- 0.0237	0.041 +or- 0.142	6.67 +or- 0.86	
FS Tau B	3.5241 +or- 0.0188	-0.887 +or- 0.171	5.04 +or- 0.78	
J04221675+2654570	3.5602 +or- 0.0173	-0.508 +or- 0.116	4.37 +or- 0.65	
IRAS 04196+2638	3.5688 +or- 0.0170	-0.413 +or- 0.108	5.57 +or- 0.52	
J04230607+2801194	3.4757 +or- 0.0196	-1.332 +or- 0.078	1.66 +or- 0.51	
IRAS 04200+2759	3.5515 +or- 0.0177	-1.261 +or- 0.242	1.96 +or- 0.98	
J04231822+2641156	3.5241 +or- 0.0188	-0.638 +or- 0.059	6.87 +or- 0.47	
FU Tau A	3.4529 +or- 0.0314	-0.579 +or- 0.162	2.66 +or- 1.14	
FU Tau B	3.3711 +or- 0.0522	-2.077 +or- 0.161	4.31 +or- 1.59	
FT Tau	3.5772 +or- 0.0491	-0.251 +or- 0.219	2.45 +or- 1.53	
J04242090+2630511	3.4676 +or- 0.0207	-1.806 +or- 0.096	1.87 +or- 0.70	
J04242646+2649503	3.4805 +or- 0.0197	-1.517 +or- 0.068	2.14 +or- 0.51	
IRAS 04216+2603	3.5772 +or- 0.0204	-0.671 +or- 0.443	3.07 +or- 1.87	
IP Tau	3.5855 +or- 0.0237	-0.331 +or- 0.126	0.51 +or- 0.68	
KPNO 3	3.4757 +or- 0.0196	-1.655 +or- 0.053	2.32 +or- 0.42	
FV Tau A	3.6385 +or- 0.0240	0.369 +or- 0.143	6.09 +or- 0.66	
FV Tau B	3.6238 +or- 0.0150	0.130 +or- 0.153	6.77 +or- 0.66	
FV Tau/c A	3.5425 +or- 0.0181	-0.254 +or- 0.080	4.16 +or- 0.49	
FV Tau/c B	3.6238 +or- 0.0188	-1.193 +or- 0.210	6.34 +or- 0.94	
KPNO 13	3.4948 +or- 0.0202	-0.577 +or- 0.080	3.51 +or- 0.52	
DF Tau A	3.5515 +or- 0.0177	0.084 +or- 0.132	0.50 +or- 0.86	
DF Tau B	3.5425 +or- 0.0181	-0.173 +or- 0.109	0.25 +or- 0.87	
DG Tau	3.6238 +or- 0.0150	0.323 +or- 0.430	1.29 +or- 1.06	
J04284263+2714039 A^a	3.4901 +or- 0.0200	-1.258 +or- 0.143	2.19 +or- 1.49	
J04284263+2714039 B^a	3.4594 +or- 0.0724	-1.575 +or- 0.250	2.19 +or- 1.49	
IRAS 04260+2642^b	3.6312 +or- 0.0195	-1.386 +or- 0.319	6.54 +or- 2.58	
IRAS 04263+2654	3.4901 +or- 0.0200	-0.115 +or- 0.073	6.17 +or- 0.53	
XEST 13-010	3.5334 +or- 0.0184	-0.296 +or- 0.093	3.76 +or- 0.55	
DH Tau A	3.5688 +or- 0.0170	-0.262 +or- 0.110	1.18 +or- 0.56	
DH Tau B	3.4464 +or- 0.0373	-2.822 +or- 0.111	0.09 +or- 1.33	
IQ Tau	3.5772 +or- 0.0204	-0.089 +or- 0.119	1.39 +or- 0.56	
J04295950+2433078	3.4948 +or- 0.0202	-0.613 +or- 0.072	5.13 +or- 0.48	
UX Tau A	3.6902 +or- 0.0160	0.273 +or- 0.169	1.14 +or- 0.75	
KPNO 6	3.4074 +or- 0.0433	-2.468 +or- 0.179	1.28 +or- 1.40	
FX Tau A	3.5688 +or- 0.0170	-0.285 +or- 0.215	1.82 +or- 1.51	
FX Tau B	3.5145 +or- 0.0193	-0.467 +or- 0.142	0.43 +or- 1.29	
DK Tau A	3.6010 +or- 0.0231	0.119 +or- 0.189	1.46 +or- 1.24	
DK Tau B	3.5688 +or- 0.0170	-0.498 +or- 0.237	1.31 +or- 2.29	
ZZ Tau A^a	3.5334 +or- 0.0184	-0.466 +or- 0.117	0.97 +or- 0.76	
ZZ Tau B^a	3.5048 +or- 0.0394	-0.639 +or- 0.145	0.97 +or- 0.76	
ZZ Tau IRS	3.4948 +or- 0.0202	-1.022 +or- 0.113	4.30 +or- 0.62	
KPNO 7	3.4204 +or- 0.0466	-2.272 +or- 0.198	1.57 +or- 1.57	
JH 56	3.5772 +or- 0.0204	-0.376 +or- 0.065	0.00 +or- 0.68	
XZ Tau A	3.5515 +or- 0.0177	-0.443 +or- 0.265	1.32 +or- 0.96	
XZ Tau B	3.5241 +or- 0.0188	-0.227 +or- 0.239	4.83 +or- 1.48	
HK Tau A	3.5772 +or- 0.0204	-0.353 +or- 0.126	2.65 +or- 2.03	
HK Tau B^b	3.5515 +or- 0.0177	-1.571 +or- 0.194	1.92 +or- 0.87	
V710 Tau A	3.5772 +or- 0.0204	-0.241 +or- 0.124	1.91 +or- 0.69	
V710 Tau B^c	3.5515 +or- 0.0177	-0.330 +or- 0.180	1.86 +or- 0.88	
LkHalpha 267	3.5334 +or- 0.0184	-0.758 +or- 0.080	5.68 +or- 0.56	
Haro 6-13	3.5855 +or- 0.0237	-0.159 +or- 0.115	5.43 +or- 0.56	
MHO 5	3.4757 +or- 0.0196	-0.827 +or- 0.071	2.12 +or- 0.55	
MHO 6	3.4999 +or- 0.0199	-1.134 +or- 0.122	1.01 +or- 0.67	
J04322415+2251083	3.5048 +or- 0.0197	-1.040 +or- 0.065	1.68 +or- 0.52	
GG Tau Aa	3.6085 +or- 0.0225	-0.070 +or- 0.123	0.63 +or- 0.63	
GG Tau Ab	3.5772 +or- 0.0204	-0.136 +or- 0.107	3.04 +or- 0.54	
GG Tau Ba	3.4854 +or- 0.0199	-0.926 +or- 0.107	1.39 +or- 0.63	
GG Tau Bb	3.4464 +or- 0.0373	-1.845 +or- 0.124	0.87 +or- 0.87	
FY Tau	3.6385 +or- 0.0240	0.206 +or- 0.136	4.56 +or- 0.68	
FZ Tau	3.5855 +or- 0.0237	0.100 +or- 0.138	3.81 +or- 0.71	
UZ Tau Wa	3.5515 +or- 0.0177	-0.488 +or- 0.106	0.74 +or- 0.55	
UZ Tau Wb	3.5334 +or- 0.0184	-0.691 +or- 0.074	0.26 +or- 0.53	
UZ Tau Ea^a	3.5688 +or- 0.0170	-0.190 +or- 0.229	1.62 +or- 0.71	
UZ Tau Eb^a	3.5145 +or- 0.0193	-0.549 +or- 0.198	1.62 +or- 0.71	
JH 112 A^a	3.6238 +or- 0.0150	0.043 +or- 0.131	4.15 +or- 0.54	
JH 112 B^a	3.4074 +or- 0.0773	-2.391 +or- 0.223	4.15 +or- 0.54	
J04324938+2253082	3.5097 +or- 0.0195	-0.352 +or- 0.086	4.81 +or- 0.46	
GH Tau A	3.5515 +or- 0.0177	-0.456 +or- 0.073	0.29 +or- 0.56	
GH Tau B	3.5515 +or- 0.0177	-0.402 +or- 0.109	0.73 +or- 0.59	
V807 Tau A	3.6085 +or- 0.0225	0.183 +or- 0.163	0.80 +or- 0.80	
V807 Tau Ba^a,c	3.5515 +or- 0.0177	-0.345 +or- 0.076	0.78 +or- 0.48	
V807 Tau Bb^a,c	3.5470 +or- 0.0179	-0.486 +or- 0.088	0.78 +or- 0.48	
J04330945+2246487	3.4757 +or- 0.0196	-1.310 +or- 0.071	4.53 +or- 0.55	
IRAS 04301+2608^b	3.5855 +or- 0.0237	-1.522 +or- 0.100	6.20 +or- 0.58	
IRAS 04303+2240	3.5772 +or- 0.0204	0.173 +or- 0.075	7.81 +or- 0.47	
J04333278+1800436	3.5688 +or- 0.0170	-0.721 +or- 0.076	0.00 +or- 1.00	
GI Tau	3.6085 +or- 0.0225	0.040 +or- 0.176	1.91 +or- 0.87	
GK Tau	3.6085 +or- 0.0225	0.129 +or- 0.234	1.36 +or- 0.84	
IS Tau A	3.5855 +or- 0.0237	-0.240 +or- 0.098	3.30 +or- 0.54	
IS Tau B	3.5241 +or- 0.0188	-0.965 +or- 0.071	3.29 +or- 0.53	
DL Tau	3.6085 +or- 0.0225	-0.131 +or- 0.181	1.21 +or- 0.72	
J04333905+2227207	3.5558 +or- 0.0175	-1.159 +or- 0.118	2.81 +or- 0.62	
HN Tau A	3.6385 +or- 0.0240	-0.376 +or- 0.365	2.31 +or- 1.31	
HN Tau B	3.5145 +or- 0.0193	-1.558 +or- 0.225	0.92 +or- 1.30	
J04334171+1750402	3.5145 +or- 0.0193	-0.921 +or- 0.062	1.58 +or- 0.93	
J04334465+2615005	3.4999 +or- 0.0199	-0.565 +or- 0.074	5.17 +or- 0.50	
DM Tau	3.5688 +or- 0.0170	-0.646 +or- 0.031	0.34 +or- 0.44	
CI Tau	3.6085 +or- 0.0225	-0.032 +or- 0.139	1.57 +or- 0.72	
