|                   Name|  SpT|              Mstar|              FCont|    MDust| det|
|                   char| char|             double|             double|   double|long|
|                       |     |          dex(Msun)|                mJy|         |    |
|                   null| null|               null|               null|     null|null|
 2MASS J15354856-2958551    M4  0.2630267991895382                1.92   0.40986    1 
 2MASS J15514032-2146103    M4 0.19952623149688797                0.76   0.16223    1 
 2MASS J15521088-2125372    M4  0.1778279410038923 0.44999999999999996   0.09606    0 
 2MASS J15530132-2114135    M4 0.20892961308540392                5.78   1.23384    1 
 2MASS J15534211-2049282  M3.5  0.2691534803926916                2.93   0.62546    1 
 2MASS J15562477-2225552    M4 0.20892961308540392                0.54   0.11527    0 
 2MASS J15570641-2206060    M4 0.19054607179632474  0.6000000000000001   0.12808    0 
 2MASS J15572986-2258438    M4 0.19952623149688797  0.6000000000000001   0.12808    0 
 2MASS J15582981-2310077    M3  0.2570395782768864                5.86   1.25092    1 
 2MASS J15583692-2257153    G7  1.3803842646028848              174.92  37.33963    1 
 2MASS J16001730-2236504    M4 0.24547089156850305 0.44999999999999996   0.09606    0 
 2MASS J16001844-2230114  M4.5 0.18620871366628675                3.89   0.83039    1 
 2MASS J16014086-2258103    M4  0.2344228815319922                3.45   0.73646    1 
 2MASS J16014157-2111380    M4 0.18620871366628675                0.66   0.14089    1 
 2MASS J16020757-2257467  M2.5 0.33884415613920255                5.26   1.12284    1 
 2MASS J16024152-2138245 M4.75  0.1548816618912481               10.25   2.18804    1 
 2MASS J16030161-2207523 M4.75 0.15135612484362082                2.81   0.59984    1 
 2MASS J16031329-2112569 M4.75 0.15848931924611134                0.36   0.07685    0 
 2MASS J16032225-2413111  M3.5  0.2630267991895382                2.42   0.51659    1 
 2MASS J16035767-2031055    K5  1.0471285480508996                 4.3   0.91791    1 
 2MASS J16035793-1942108    M2 0.36307805477010135                1.17   0.24976    1 
 2MASS J16041740-1942287  M3.5   0.251188643150958                0.89   0.18999    1 
 2MASS J16042165-2130284    K2                 1.0              218.76  46.69802    1 
 2MASS J16052556-2035397    M5 0.14791083881682077                1.53    0.3266    1 
 2MASS J16052661-1957050  M4.5 0.18620871366628675 0.44999999999999996   0.09606    0 
 2MASS J16053215-1933159    M5 0.14125375446227545  0.6000000000000001   0.12808    0 
 2MASS J16054540-2023088    M2 0.36307805477010135                7.64   1.63089    1 
 2MASS J16055863-1949029    M4 0.20892961308540392 0.44999999999999996   0.09606    0 
 2MASS J16060061-1957114    M5 0.15848931924611134                0.39   0.08325    0 
 2MASS J16062196-1928445    M0  0.5623413251903491                4.08   0.87094    1 
 2MASS J16062277-2011243    M5 0.14791083881682077                0.59   0.12595    1 
 2MASS J16063539-2516510  M4.5 0.15848931924611134                1.69   0.36076    1 
 2MASS J16064102-2455489  M4.5 0.15848931924611134                3.05   0.65107    1 
 2MASS J16064115-2517044 M3.25   0.251188643150958 0.44999999999999996   0.09606    0 
 2MASS J16064385-1908056    K6  0.8912509381337456                0.84   0.17931    1 
 2MASS J16070014-2033092 M2.75 0.30902954325135906 0.44999999999999996   0.09606    0 
 2MASS J16070211-2019387    M5 0.14454397707459277  0.6000000000000001   0.12808    0 
 2MASS J16072625-2432079  M3.5  0.2630267991895382               13.12   2.80069    1 
 2MASS J16072747-2059442 M4.75 0.18620871366628675                2.13   0.45468    1 
 2MASS J16075796-2040087    M1 0.44668359215096315               23.49   5.01434    1 
 2MASS J16081566-2222199 M3.25 0.28183829312644537                0.97   0.20706    1 
 2MASS J16082324-1930009    K9   0.660693448007596               43.19   9.21963    1 
 2MASS J16082751-1949047    M5 0.16218100973589297                0.76   0.16223    1 
 2MASS J16083455-2211559  M4.5 0.16595869074375605                0.36   0.07685    0 
 2MASS J16084894-2400045 M3.75 0.21877616239495523 0.44999999999999996   0.09606    0 
 2MASS J16090002-1908368    M5 0.15135612484362082                1.73    0.3693    1 
 2MASS J16090075-1908526    K9  0.6456542290346555               47.28  10.09271    1 
 2MASS J16093558-1828232    M3 0.28183829312644537                0.69   0.14729    1 
 2MASS J16095361-1754474    M3  0.2570395782768864                0.87   0.18572    1 
 2MASS J16095933-1800090    M4  0.2290867652767773                0.67   0.14302    1 
 2MASS J16101888-2502325  M4.5 0.16982436524617442 0.42000000000000004   0.08966    0 
 2MASS J16102819-1910444    M4 0.18197008586099836                0.48   0.10246    0 
 2MASS J16102857-1904469    M3 0.32359365692962827                0.66   0.14089    1 
 2MASS J16104636-1840598  M4.5 0.16218100973589297                1.78   0.37997    1 
 2MASS J16111330-2019029    M3  0.3019951720402016                4.88   1.04172    1 
